round,timestamp,user_move,ai_move,result
1,2025-11-26T16:30:54,1,0,user
2,2025-11-26T16:30:56,0,2,user
3,2025-11-26T16:30:57,2,1,user
4,2025-11-26T16:30:57,1,1,draw
5,2025-11-26T16:30:58,0,2,user
6,2025-11-26T16:30:58,1,1,draw
7,2025-11-26T16:30:59,1,2,ai
8,2025-11-26T16:30:59,0,2,user
9,2025-11-26T16:30:59,1,2,ai
10,2025-11-26T16:31:00,2,2,draw
11,2025-11-26T16:31:02,1,2,ai
12,2025-11-26T16:31:02,0,1,ai
13,2025-11-26T16:31:04,1,2,ai
14,2025-11-26T16:31:05,1,2,ai
15,2025-11-26T16:31:06,0,1,ai
16,2025-11-26T16:31:08,1,2,ai
17,2025-11-26T16:31:08,2,0,ai
18,2025-11-26T16:31:10,1,2,ai
19,2025-11-26T16:31:11,0,1,ai
20,2025-11-26T16:31:13,1,2,ai
21,2025-11-26T16:31:15,2,2,draw
22,2025-11-26T16:31:16,1,1,draw
23,2025-11-26T16:31:16,0,1,ai
24,2025-11-26T16:31:17,1,2,ai
25,2025-11-26T16:31:17,2,2,draw
26,2025-11-26T16:31:17,1,1,draw
27,2025-11-26T16:31:18,0,1,ai
28,2025-11-26T16:31:18,0,2,user
29,2025-11-26T16:31:19,0,2,user
30,2025-11-26T16:31:20,0,2,user
31,2025-11-26T16:31:20,0,2,user
32,2025-11-26T16:31:20,0,0,draw
33,2025-11-26T16:31:21,0,0,draw
34,2025-11-26T16:31:21,0,0,draw
35,2025-11-26T16:31:21,0,0,draw
36,2025-11-26T16:31:21,0,0,draw
37,2025-11-26T16:31:22,0,0,draw
38,2025-11-26T16:31:22,0,0,draw
39,2025-11-26T16:31:22,0,0,draw
40,2025-11-26T16:31:24,0,0,draw
41,2025-11-26T16:31:24,0,1,ai
42,2025-11-26T16:31:24,0,1,ai
43,2025-11-26T16:31:24,0,1,ai
44,2025-11-26T16:31:24,0,1,ai
45,2025-11-26T16:31:24,0,1,ai
46,2025-11-26T16:31:25,1,1,draw
47,2025-11-26T16:31:25,2,1,user
48,2025-11-26T16:31:26,1,0,user
49,2025-11-26T16:31:26,2,1,user
50,2025-11-26T16:31:28,1,2,ai
51,2025-11-26T16:31:28,1,1,draw
52,2025-11-26T16:31:28,2,1,user
53,2025-11-26T16:31:28,1,2,ai
54,2025-11-26T16:31:28,2,1,user
55,2025-11-26T16:31:29,2,2,draw
56,2025-11-26T16:31:29,1,2,ai
57,2025-11-26T16:31:30,2,1,user
58,2025-11-26T16:31:30,1,2,ai
1,2025-11-26T16:32:07,2,1,user
2,2025-11-26T16:32:10,0,0,draw
3,2025-11-26T16:32:14,1,1,draw
4,2025-11-26T16:32:16,1,1,draw
5,2025-11-26T16:32:19,1,2,ai
6,2025-11-26T16:32:21,0,2,user
7,2025-11-26T16:32:23,2,2,draw
8,2025-11-26T16:32:24,0,2,user
9,2025-11-26T16:32:26,2,1,user
10,2025-11-26T16:32:29,1,1,draw
11,2025-11-26T16:32:30,0,2,user
12,2025-11-26T16:32:32,2,2,draw
13,2025-11-26T16:32:33,1,1,draw
14,2025-11-26T16:32:35,0,2,user
15,2025-11-26T16:32:36,2,2,draw
16,2025-11-26T16:32:39,1,1,draw
17,2025-11-26T16:32:41,0,2,user
18,2025-11-26T16:32:42,2,2,draw
19,2025-11-26T16:32:44,1,1,draw
20,2025-11-26T16:32:46,0,2,user
21,2025-11-26T16:32:47,2,0,ai
22,2025-11-26T16:32:48,1,2,ai
23,2025-11-26T16:32:50,2,1,user
24,2025-11-26T16:32:52,0,1,ai
25,2025-11-26T16:32:53,1,0,user
26,2025-11-26T16:32:54,2,1,user
27,2025-11-26T16:32:55,1,1,draw
28,2025-11-26T16:32:56,0,1,ai
29,2025-11-26T16:32:56,2,0,ai
30,2025-11-26T16:32:58,1,1,draw
31,2025-11-26T16:32:58,0,1,ai
32,2025-11-26T16:32:59,0,0,draw
33,2025-11-26T16:32:59,2,2,draw
34,2025-11-26T16:33:00,1,1,draw
35,2025-11-26T16:33:00,0,1,ai
36,2025-11-26T16:33:01,2,0,ai
37,2025-11-26T16:33:02,1,2,ai
38,2025-11-26T16:33:05,2,1,user
39,2025-11-26T16:33:08,0,1,ai
40,2025-11-26T16:33:12,0,2,user
41,2025-11-26T16:33:15,2,0,ai
42,2025-11-26T16:33:19,1,2,ai
43,2025-11-26T16:33:21,0,1,ai
44,2025-11-26T16:33:23,2,0,ai
45,2025-11-26T16:33:27,2,2,draw
46,2025-11-26T16:33:29,2,1,user
47,2025-11-26T16:33:32,0,1,ai
48,2025-11-26T16:33:34,1,2,ai
49,2025-11-26T16:33:35,0,0,draw
50,2025-11-26T16:33:39,0,0,draw
51,2025-11-26T16:33:40,0,0,draw
52,2025-11-26T16:33:41,0,0,draw
53,2025-11-26T16:33:42,0,0,draw
54,2025-11-26T16:33:43,2,0,ai
